id_local,id_barrio,Nombre,DESC_CLASE,desc_ubicacion_terraza
270353391,81,R?TULO NO INFORMADO,CALLE,Acera
270091380,29,ASADOR LEKEITIO,CALLE,Acera
280021159,28,GELATERIA LA ROMANA,PASEO,Acera
280065973,115,CAFETERIA OLIVAR BURGER,CALLE,Acera
270187253,115,PELAEZ CERVECERIA,CALLE,Acera
200001995,111,BAR ROSZ,CALLE,Acera
270457188,115,ALMETRO,CALLE,Acera
270451091,115,TABERNA LAS GEMELAS,CALLE,Acera
270187251,115,FRUTAS Y VERDURAS MANOLIN,CALLE,Acera
270187108,115,BAR LA TABERNA,CALLE,Acera
200000654,115,CERVECERIA EL TERMINO,CALLE,Acera
200001092,115,SAN JUDAS F.,CALLE,Calle peatonal
270202175,115,CASA GARCIA,CALLE,Acera
270187817,109,CAFETERIA-CERVECERIA VALENTIN,AVENIDA,Acera
270327991,114,CASA EUROPA CERVECERIA RESTAURANTE,AVENIDA,Acera
200000905,115,MANHATTAN,CALLE,Acera
200000352,114,CASA MANUELA,CALLE,Acera
200001486,114,METROPOLI,CALLE,Acera
270529172,114,PIAZZA ITALIA,CALLE,Acera
200001245,114,CERVECER?A EL PE??N,CALLE,Acera
200000783,114,LA TABERNA FANTASTICA,CALLE,Acera
200000816,110,CAFETERIA VAPORETTO,PLAZA,Plaza peatonal
270359578,115,EL RINCON DEL JAMON,CALLE,Acera
270187032,115,LA LUMBRE,CALLE,Acera
270530266,114,CAFETERIA LA TRADICION,CALLE,Acera
200001275,115,RESTAURANTE,CALLE,Calle peatonal
270434272,48,TAT? G?TEAU,CALLE,Acera
285016399,50,CERVECER?A BAMBERG,CALLE,Acera
270190198,116,BAR GOYA,CALLE,Acera
270553981,119,COZINA,PASEO,Acera
280007506,4,CANTINA LA TRAVIESA,CALLE,Acera
270354508,99,FARAON,CALLE,Superficie en parcela privada
270076687,23,BAR SIDNEY,CALLE,Acera
270541050,22,LIZARRAN,AVENIDA,Plaza peatonal
50001180,29,OFICINA DESPACHO TECNICO,AVENIDA,Acera
270491022,23,FRESNO,CALLE,Acera
270244013,22,EL RINCON DE DALI,CALLE,Acera
270377715,22,LA JARRA Y LA PIPA,CALLE,Acera
270362232,24,CAFETERIA CASTILLA,CALLE,Acera
40002353,22,MANDARIZ CAFE,AVENIDA,Plaza peatonal
270492263,13,CASA EGIDO,CALLE,Acera
270478944,9,RESTAURANTE EL LUCA,PLAZA,Acera
20001104,12,NEMRUT D?NER KEBAP,PASEO,Acera
280017942,13,EL PRINCIPADO,CALLE,Acera
285005703,10,PAQUITA BAR RESTAURANTE,CALLE,Acera
20000904,11,EL CHISCON,CALLE,Acera
270484266,11,OBREOGAN,CALLE,Acera
270501894,114,LA CRIBA CERVECERIA,CALLE,Acera
270480143,81,CAFETERIA MER-K,CALLE,Calle peatonal
280018516,7,LA ORIENTAL EDELWEISS,PASEO,Bulevar
20000005,10,RESTAURANTE DOMINGUEZ BAR,PASEO,Acera
20000582,13,VEN Y VERAS,PASEO,Acera
290000070,20,MAMA NO LO SABE,CALLE,Otros
50000971,28,FIAT CAFE,CALLE,Acera
285020496,63,BAR,AVENIDA,Acera
100001049,63,CAFETERIA, PANADERIA, PASTELERIA,PASEO,Acera
270525122,60,CERVECERIA GAMBRINUS ALUCHE,CALLE,Acera
210000637,120,RESTAURANTE-BAR.MEAT LAND,PASEO,Acera
20000844,12,LA TXASKA ETXEA,PASEO,Acera
20000605,11,CAFETERIA PIRAMIDES,GLORIETA,Acera
20001935,10,SMALL COFFE DRINK,CALLE,Acera
285004392,7,CERVECER?A 100 MONTADITOS,GLORIETA,Acera
20000182,11,CAF? Y T?,GLORIETA,Acera
20000446,13,BURGER KING,PASEO,Acera
270218168,13,BAR EL SOTANILLO,PASEO,Acera
280018582,7,MESON VALLE DEL JERTE,CALLE,Acera
270263160,100,CERVECERIA RESTAURANTE LA PARADA,CALLE,Acera
285007242,29,CAFE HELADOS,CALLE,Acera
270481743,106,BAR LA TUNA, CALAHORRA 23,CALLE,Acera
270453565,107,TABERNA LA ERA,BULEVAR,Acera
270306989,23,MEMPHIS COCKTAIL BAR,CALLE,Acera
270360388,23,CAFETERA JARA,CALLE,Acera
270440167,22,CAFETERIA EL TREBOL,AVENIDA,Acera
280071074,97,CAFETERIA D?TOMAS,AVENIDA,Acera
270171390,94,CAFETERIA BARREDA,CALLE,Acera
50001969,26,RODILLA,CALLE,Acera
270017643,13,CERVECER?A MAVI,PASEO,Acera
270193865,13,CERVECERIA HAVANA BLUES,PASEO,Acera
270054570,7,BAR EL PESCADOR CERVECERIA,RONDA,Acera
20001073,9,CAFETERIA TRANSMONTANO,CALLE,Acera
270405399,13,ARROCERIA PUERTA DE ATOCHA,CALLE,Acera
20000492,11,POR DEFINIR,PASEO,Acera
270531806,11,LA ESQUINA DEL CALDERON,PASEO,Acera
20000708,7,TABERNA FANTASTICA,PASEO,Acera
270378436,7,CAFE DOMAR,PASEO,Acera
270543893,103,BAR LAS TAPAS,CALLE,Bulevar
270482945,50,SECABE CERVECERIA,RONDA,Calle peatonal
270543037,50,GOIKO GRILL,PASEO,Acera
270225437,23,CAFETERIA CERVECERIA BIARRITZ,CALLE,Acera
140000447,88,BAR CASA MANOLO,CALLE,Acera
110001307,70,SALVAZ,AVENIDA,Superficie en parcela privada
270087195,28,PUB FANNY,CALLE,Acera
170000823,100,RESTAURANTE CHINO PROSPERIDAD II,CALLE,Plaza peatonal
270419423,22,CAFE Y TE,AVENIDA,Acera
270454744,86,BAR JANDRO,CALLE,Acera
270137940,56,PLANETA SACONIA,CALLE,Acera
270346193,60,RESTAURANTE CHINO GUANG ZHOU,CALLE,Acera
280043793,60,CASA CORONEL,CALLE,Acera
270549648,60,BAR LOS XURROS,CALLE,Acera
100001174,60,24 CAMPANA,CALLE,Acera
280041320,63,R?TULO NO INFORMADO,PASEO,Acera
270402083,65,BAR MONTIJO,CALLE,Acera
40000735,22,RODILLA,CALLE,Acera
20001084,7,EL VIEJO MADRID,PASEO,Acera
280016582,11,OFICINAS PRIVADAS DE GESTION EMPRESA,RONDA,Acera
20001786,7,CAFETERIA RONDA DE TOLEDO,RONDA,Acera
270413162,9,VENTA MATADERO,PLAZA,Plaza peatonal
280044139,52,BULEVART,CUESTA,Acera
280056405,79,BAR SEYDA,CALLE,Acera
270490207,74,EL RINCON DE CRUZ BLANCA,CALLE,Acera
280049588,73,JORDAN CAFE BAR,CALLE,Acera
270190399,118,SALON DE JUEGOS,AVENIDA,Acera
270024547,53,HOTEL FLORIDA NORTE,PASEO,Acera
285001213,4,100 MONTADITOS,CALLE,Acera
270532418,6,LA CUEVA DEL PINTXO,CALLE,Acera
270541825,92,SOCCER,CALLE,Acera
270472400,98,CAFETERIA LOS ALPES,CALLE,Acera
270526036,19,LA PIPARRA,CALLE,Acera
270060296,19,BODEGUITA DONDE SIEMPRE,CALLE,Acera
270159594,83,LA CRUZ BLANCA,CALLE,Acera
